dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA,ATP250,ATP500,Grand Slam,International,International Gold,Masters,Masters 1000,Masters Cup,Carpet,Clay,Grass,Hard,1st Round,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
5105,3,5930,2,0,21,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4855,3,317,141,1,21,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4855,3,965,34,1,21,0,0,0.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4855,3,1065,27,1,21,0,0,0.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4855,3,1250,20,0,21,0,0,0.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4725,3,1215,21,0,21,0,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4575,3,1485,14,0,21,0,0,0.6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4645,3,1845,8,1,21,0,0,0.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4645,3,2315,5,1,21,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4645,3,1950,7,0,21,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4645,3,1780,9,1,21,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
4645,3,2315,5,1,21,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
10590,3,1408,53,0,22,1,0,0.6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10590,3,2000,29,1,22,1,0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
