dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age_c,age_c_sq,is_outdoor,is_five_sets,5SMA,ATP500,Grand Slam,Masters 1000,Masters Cup,Clay,Grass,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
4315,3,1.36,2615,5,3.2,1,-7.326488706365502,53.67743676450125,1,1,0.8,0,1,0,0,0,0,0,0,0,1,0,0,0
4315,3,3.4,7180,1,1.33,1,-7.32101300479124,53.59723141632246,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0
4315,3,1.33,789,38,3.4,1,-7.315537303216974,53.51708603475908,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1
5165,3,1.02,125,296,12.0,1,-7.26899383983573,52.83827144356979,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5165,3,1.16,1025,30,4.5,0,-7.266255989048595,52.798476098384576,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
5010,3,1.14,752,45,5.0,1,-7.2142368240930885,52.045212954100734,1,0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0
5010,3,1.1,705,47,6.5,1,-7.211498973305954,52.00571744199283,1,0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0
5010,3,1.12,945,34,5.5,1,-7.208761122518823,51.96623692153884,1,0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0
5010,3,1.38,2140,6,2.87,0,-7.206023271731691,51.92677139273871,1,0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0
5130,3,1.07,794,40,7.5,1,-7.184120465434635,51.61158686187675,1,0,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0
5130,3,1.14,1155,27,5.0,1,-7.175906913073238,51.49364002509228,1,0,0.8,0,0,1,0,0,0,0,1,0,0,0,0,0
5130,3,1.14,1468,16,5.0,1,-7.173169062286107,51.45435439613854,1,0,0.8,0,0,1,0,0,0,0,0,1,0,0,0,0
5130,3,1.1,955,35,7.0,1,-7.170431211498972,51.41508375883861,1,0,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0
5130,3,1.57,5980,2,2.37,1,-7.1649555099247095,51.33658745920045,1,0,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0
5130,3,1.19,445,98,4.5,1,-7.162217659137578,51.29736179686217,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1
5280,3,1.05,370,122,9.0,0,-7.148528405201915,51.101458359978636,1,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0
4725,3,1.12,1070,29,5.5,1,-7.0800821355236145,50.127563045760624,1,0,0.8,0,0,1,0,1,0,1,0,0,0,0,0,0
